2024-10-02 12:31:08,205 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Configure stats pid to 2164842
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Loading settings from /home/jechmate/.config/wandb/settings
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Loading settings from /home/jechmate/diffAE-elibeams/wandb/settings
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'vae.py', 'program_abspath': '/home/jechmate/diffAE-elibeams/vae.py', 'program': '/home/jechmate/diffAE-elibeams/vae.py'}
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***', 'force': True}
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_init.py:_log_setup():532] Logging user logs to /home/jechmate/diffAE-elibeams/wandb/run-20241002_123108-delz5jse/logs/debug.log
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_init.py:_log_setup():533] Logging internal logs to /home/jechmate/diffAE-elibeams/wandb/run-20241002_123108-delz5jse/logs/debug-internal.log
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_init.py:init():616] calling init triggers
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'epochs': 1000, 'batch_size': 64, 'learning_rate': 0.001, 'latent_dim': 64}
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_init.py:init():666] starting backend
2024-10-02 12:31:08,206 INFO    MainThread:2164842 [wandb_init.py:init():670] setting up manager
2024-10-02 12:31:08,207 INFO    MainThread:2164842 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-02 12:31:08,207 INFO    MainThread:2164842 [wandb_init.py:init():678] backend started and connected
2024-10-02 12:31:08,209 INFO    MainThread:2164842 [wandb_init.py:init():773] updated telemetry
2024-10-02 12:31:08,214 INFO    MainThread:2164842 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-10-02 12:31:08,467 INFO    MainThread:2164842 [wandb_init.py:init():857] starting run threads in backend
2024-10-02 12:31:08,555 INFO    MainThread:2164842 [wandb_run.py:_console_start():2459] atexit reg
2024-10-02 12:31:08,555 INFO    MainThread:2164842 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-10-02 12:31:08,555 INFO    MainThread:2164842 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-10-02 12:31:08,555 INFO    MainThread:2164842 [wandb_run.py:_redirect():2397] Redirects installed.
2024-10-02 12:31:08,557 INFO    MainThread:2164842 [wandb_init.py:init():900] run started, returning control to user process
2024-10-02 12:32:24,304 WARNING MsgRouterThr:2164842 [router.py:message_loop():77] message_loop has been closed
